Variables,Type,Variables_name_ENG,Variables_name_KOR
HA_Name_Out_SIDO,0,SIDO,시도
HA_Name_Out_SGG,0,SIGUNGU,시군구
HA_Name_Out_Stat,0,Statistics,통계
HA_Name_DM_Models,0,DIspersal Types,확산유형
HA_Name_DM_Models_list,1,DM_Models_list,DM_Models_list
HA_Name_DM_Models_selected,0,BIOMOD2,BIOMOD2
HA_Name_CD_Models,0,Climate Models,기후모델
HA_Name_CD_Models_list,1,CD_Models_list,CD_Models_list
HA_Name_CD_Models_selected,0,KMA,KMA
HA_Name_CD_Scenarios,0,Climate Scenarios,기후시나리오
HA_Name_CD_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
HA_Name_CD_Scenarios_selected,0,RCP4.5,RCP4.5
HA_Name_CD_Year,0,Projecting Years,예측년도
HA_Name_CD_Year_list,1,CD_Year_list,CD_Year_list
HA_Name_CD_Year_selected,0,2000,2000
HA_Name_models,0,Model types,모델유형
HA_Name_models_list,1,SDM_models_list,SDM_models_list
HA_Name_models_selected,0,GLM,GLM
HA_Name_EMmodels,0,Ensemble,앙상블
HA_Name_models_run,0,Run,실행
HA_Name_models_out,0,Model types,모델유형
HA_Name_models_out_list,1,SDM_models_out_list,SDM_models_out_list
HA_Name_models_out_selected,0,GLM,GLM
HA_Name_Dir,0,Output Folder,평가결과 폴더
HA_Name_Action,0,Assessing Impact and Vulnerabilty of Invasive Species Group,서식지 영향 및 취약성 평가 실행
HA_Name_Action_Admin_Species,0,Reclassifying Species Analysis by Administration,서식지별로 생물종 결과 재분류
HA_Name_Action_Admin_Group,0,Reclassifying Species Group Analysis by Administration,서식지별로 생물종그룹 결과 재분류
HA_Name_Admin,0,Select a Administration Type,행정구역유형을 선택하세요
HA_Name_Admin_list,1,HA_Group_list,HA_Group_list
HA_Name_Admin_selected,0,SD,SD
HA_Name_CD_Models_out,0,Climate Models,기후모델
HA_Name_CD_Models_out_list,1,CD_Models_list,CD_Models_list
HA_Name_CD_Models_out_selected,0,KMA,KMA
HA_Name_CD_Scenarios_out,0,Climate Scenarios,기후시나리오
HA_Name_CD_Scenarios_out_list,1,CD_Scenarios_list,CD_Scenarios_list
HA_Name_CD_Scenarios_out_selected,0,RCP4.5,RCP4.5
HA_Name_CD_Year_out,0,Projecting Years,예측년도
HA_Name_CD_Year_out_list,1,CD_Year_list,CD_Year_list
HA_Name_CD_Year_out_selected,0,2000,2000
HA_Name_MO_Dir,0,Input Folder,서식지평가 입력폴더
HA_Name_AO_Dir,0,Output Folder,서식지평가 결과폴더
HA_Name_SD_Habitat_Types,0,Habitat Type,서식지 유형
HA_Name_SD_Habitat_Types_list,1,HA_Group1_list,HA_Group1_list
HA_Name_SD_Habitat_Types_selected,0,Distribution,Distribution
HA_Name_SD_Habitat_Plot_Types,0,Habitat Plot Type,서식지 출력 유형
HA_Name_SD_Habitat_Plot_Types_list,1,HA_Group2_list,HA_Group2_list
HA_Name_SD_Habitat_Plot_Types_selected,0,Map,Map
HA_Name_VI_Types,0,Vulnerability Type,취약성 유형
HA_Name_VI_Types_list,1,HA_VI_list,HA_VI_list
HA_Name_VI_Types_selected,0,HA_VI1,HA_VI1
HELP_Name,0,Help,도움말
HELP_Name_Content,0,"MOTIVE Ecosystem (Climate Change Impact and Vulnerability Assessment Model for Ecosystem) was funded by the “Climate Change Response Technology Project” of the Ministry of Environment, the Republic of Korea (Project No.: 2014001310009)",MOTIVE Ecosystem (생태계 기후변화 영향 및 취약성평가모형)은 대한민국 환경부 기후변화 R&D 과제인 “Climate Change Response Technology Project” (Project No.: 2014001310009)의 결과물입니다.
